identificação,Descrição,Dia do cadastro,Dia da execução,Local,Status
22,estudar flask,3/11/2020,23/11/2020,casa,Pendente
53,correr na praia,3/11/2020,3/11/2020,litorânea,Pendente
48,terminar curso de mysql,3/11/2020,25/11/2020,casa,Pendente
96,fazer atividade de metodologia,3/11/2020,3/11/2020,casa,Pendente
22,correr,3/11/2020,12/11/2020,reserva do rangedor,Realizado
11,ler livro,6/11/2020,7/11/2020,casa,Pendente
98,começar a desenvolver o front do sistema,7/11/2020,8/11/2020,casa,Pendente
26,correr,7/11/2020,8/11/2020,rua,Pendente
94,terminar o sistema,7/11/2020,7/11/2020,casa,Pendente
77,teste,7/11/2020,11/11/2020,casa,Pendente
44,usar colírio,7/11/2020,9/11/2020,trabalho,Pendente
76,correr,7/11/2020,11/11/2020,rua,Pendente
90,terminar curso de flask,9/11/2020,11/10/2020,casa,Pendente
62,estudar front-end python,9/11/2020,11/11/2020,cibernix,Pendente
84,correr,9/11/2020,11/11/2020,aabb,Pendente
26,aprersentar seminário,12/11/2020,25/11/2020,casa,Pendente
16,estudar java,14/11/2020,15/11/2020,casa,Pendente
10,estudar flask,14/11/2020,15/11/2020,casa,Pendente
47,estudar matemática,14/11/2020,16/11/2020,casa,Pendente
33,terminar os opcionais do sistema,15/11/2020,15/11/2020,casa,Pendente
4,dormir,15/11/2020,15/11/2020,casa,Pendente
42,ajudar papai nas provas,15/11/2020,15/11/2020,casa,Pendente
40,estudar derivadas,15/11/2020,16/11/2020,cest,Pendente
45,terminar o sistema,17/11/2020,23/11/2020,casa,Pendente
85,teste,21/11/2020,22/11/2020,teste,Realizado
91,teste,21/11/2020,22/11/2020,teste,Realizado
36,outro teste,21/11/2020,23/11/2020,teste123,Realizado
58,novo teste,21/11/2020,22/11/2020,teste123,Realizado
11,novo teste,21/11/2020,22/11/2020,teste123,Realizado
46,teste123321,21/11/2020,25/11/2020,teste132,Realizado
99,apresentar o sistema ,21/11/2020,27/11/2020,clasroom,Pendente
